[planification DE ville] DE urbaniste | r_processus_agent
[esquisse DE portrait] DE enfant | r_depict
[réalisation DE film] DE cinéaste | r_processus_agent
[photo DE monument] DE collines | r_depict
[élaboration DE théorie] DE savant | r_processus_agent
[gravure DE temple] DE montagne | r_depict
[inspiration DE chanson] DE musicien | r_processus_agent
[image DE constellations] DE ciel | r_depict
[fabrication DE objet] DE artisan | r_processus_agent
[dessin DE fleur] DE arbres | r_depict
[montage DE vidéo] DE monteur | r_processus_agent
[portrait DE homme] DE reine | r_depict
[restauration DE tableau] DE conservateur | r_processus_agent
[schéma DE circuit] DE systèmes | r_depict
[écriture DE poème] DE poète | r_processus_agent
[peinture DE lac] DE rivière | r_depict
[exploration DE jungle] DE aventurier | r_processus_agent
[carte DE océans] DE continent | r_depict
[création DE design] DE styliste | r_processus_agent
[illustration DE conte] DE légendes | r_depict
[construction DE maison] DE maçon | r_processus_agent
[image DE volcan] DE plaines | r_depict
[analyse DE donnée] DE statisticien | r_processus_agent
[croquis DE pont] DE château | r_depict
[organisation DE festival] DE comité | r_processus_agent
[photographie DE forêt] DE rivières | r_depict
[invention DE gadget] DE technicien | r_processus_agent
[portrait DE famille] DE président | r_depict
[bâtiment DE usine] DE ingénieur | r_processus_agent
[dessin DE statue] DE cascade | r_depict
[écriture DE scénario] DE scénariste | r_processus_agent
[peinture DE champs] DE horizon | r_depict
[découverte DE ruine] DE archéologue | r_processus_agent
[sculpture DE dieu] DE figure | r_depict
[réparation DE véhicule] DE technicien | r_processus_agent
[photo DE désert] DE dunes | r_depict
[création DE marque] DE entrepreneur | r_processus_agent
[image DE nuages] DE ciel | r_depict
[analyse DE phénomène] DE chercheur | r_processus_agent
[carte DE pays] DE territoires | r_depict
[composition DE symphonie] DE compositeur | r_processus_agent
[illustration DE étoile] DE galaxies | r_depict
[restauration DE monument] DE historien | r_processus_agent
[peinture DE village] DE collines | r_depict
[exploration DE grotte] DE spéléologue | r_processus_agent
[carte DE île] DE récifs | r_depict
[construction DE bâtiment] DE architecte | r_processus_agent
[portrait DE femme] DE roi | r_depict
[réparation DE machine] DE mécanicien | r_processus_agent
[dessin DE paysage] DE montagnes | r_depict
[écriture DE roman] DE écrivain | r_processus_agent
[peinture DE scène] DE héros | r_depict
[invention DE appareil] DE ingénieur | r_processus_agent
[sculpture DE animal] DE déesse | r_depict
[développement DE logiciel] DE programmeur | r_processus_agent
[photographie DE ville] DE étoiles | r_depict
[création DE œuvre] DE artiste | r_processus_agent
[image DE château] DE lac | r_depict
[analyse DE problème] DE expert | r_processus_agent
[carte DE région] DE continents | r_depict
[organisation DE événement] DE équipe | r_processus_agent
[illustration DE histoire] DE oiseaux | r_depict
[exécution DE tâche] DE chef | r_processus_agent
[tableau DE vague] DE rivages | r_depict
[rédaction DE essai] DE essayiste | r_processus_agent
[icône DE prophète] DE saints | r_depict
[inspiration DE roman] DE écrivain | r_processus_agent
[image DE horizon] DE constellations | r_depict
[fabrication DE meuble] DE artisan | r_processus_agent
[dessin DE animal] DE fleurs | r_depict
[montage DE film] DE cinéaste | r_processus_agent
[schéma DE moteur] DE machines | r_depict
[écriture DE pièce] DE dramaturge | r_processus_agent
[illustration DE poème] DE contes | r_depict
[construction DE pont] DE ingénieur | r_processus_agent
[analyse DE marché] DE économiste | r_processus_agent
[photographie DE lac] DE plaines | r_depict
[création DE produit] DE artiste | r_processus_agent
[image DE vagues] DE océan | r_depict
[analyse DE comportement] DE psychologue | r_processus_agent
[carte DE île] DE territoires | r_depict
[organisation DE équipe] DE manager | r_processus_agent
[illustration DE planètes] DE galaxie | r_depict
[exécution DE plan] DE artisan | r_processus_agent
[tableau DE forêt] DE rivages | r_depict
[rédaction DE rapport] DE auteur | r_processus_agent
[icône DE saints] DE prophète | r_depict
[planification DE projet] DE architecte | r_processus_agent
[photo DE étoiles] DE constellation | r_depict
[inspiration DE poésie] DE écrivain | r_processus_agent
[dessin DE fleurs] DE jardin | r_depict
[montage DE scène] DE cinéaste | r_processus_agent
[création DE bijou] DE artisan | r_processus_agent
[illustration DE contes] DE légende | r_depict
[construction DE tour] DE maçon | r_processus_agent
[analyse DE équation] DE mathématicien | r_processus_agent
[organisation DE festival] DE organisateur | r_processus_agent
[photographie DE rivières] DE lac | r_depict
