Coque DU bateau | r_holo  
Écaille DU poisson | r_holo  
Roue DU vélo | r_holo  
Page DU livre | r_holo  
Branche D'arbre | r_holo  
Aile D'avion | r_holo  
Tête DU corps | r_holo  
Fenêtre DU maison | r_holo  
Feuille DE plante | r_holo  
Clé DU clavier | r_holo  
Pneu DU voiture | r_holo  
Touche DU piano | r_holo  
Cheveu DE tête | r_holo  
Dalle DU sol | r_holo  
Vis DU meuble | r_holo  
Corde DE guitare | r_holo  
Plume D'oiseau | r_holo  
Croc DU serpent | r_holo  
Épine DU cactus | r_holo  
Écorce D'arbre | r_holo  
Racine DE plante | r_holo  
Graine DU fruit | r_holo  
Peau DU corps | r_holo  
Os DU squelette | r_holo  
Muscle DU bras | r_holo  
Veine DU sang | r_holo  
Nerf DU système | r_holo  
Cellule DU tissu | r_holo  
Atome DE molécule | r_holo  
Proton DU noyau | r_holo  
Électron DE atome | r_holo  
Rouage DE machine | r_holo  
Vis DE moteur | r_holo  
Batterie DU téléphone | r_holo  
Écran D'ordinateur | r_holo  
Touche DU clavier | r_holo  
Fil DU câble | r_holo  
Ampoule DE lampe | r_holo  
Prise DU mur | r_holo  
Brique DU mur | r_holo  
Tuile DU toit | r_holo  
Porte DE maison | r_holo  
Fenêtre D'immeuble | r_holo  
Escalier DU bâtiment | r_holo  
Ascenseur DE tour | r_holo  
Chambre DU hôtel | r_holo  
Lit DE chambre | r_holo  
Oreiller DU lit | r_holo  
Drap DE lit | r_holo  
Matelas DU sommier | r_holo  
Roue DE chaise | r_holo  
Dossier DU siège | r_holo  
Accoudoir DE fauteuil | r_holo  
Tiroir DU bureau | r_holo  
Étage DE bibliothèque | r_holo  
Rayon DE étagère | r_holo  
Livre DE bibliothèque | r_holo  
Chapitre DU livre | r_holo  
Mot DE phrase | r_holo  
Lettre DU mot | r_holo  
Point DE phrase | r_holo  
Virgule DE texte | r_holo  
Ligne DU paragraphe | r_holo  
Page DE chapitre | r_holo  
Couverture DU livre | r_holo  
Dos DE livre | r_holo  
Reliure DU cahier | r_holo  
Spirale DE cahier | r_holo  
Feuille DE cahier | r_holo  
Crayon DU stylo | r_holo  
Encre DE stylo | r_holo  
Mine DU crayon | r_holo  
Gomme DE crayon | r_holo  
Brosse DE pinceau | r_holo  
Poil DU pinceau | r_holo  
Toile DE tableau | r_holo  
Cadre DU tableau | r_holo  
Couleur DE peinture | r_holo  
Pinceau DE palette | r_holo  
Tube DE peinture | r_holo  
Chevalet DU artiste | r_holo  
Statue DE musée | r_holo  
Œuvre D'art | r_holo  
Note DE musique | r_holo  
Accord DE chanson | r_holo  
Strophe DU poème | r_holo  
Vers DE strophe | r_holo  
Rime DU poème | r_holo  
Mot DE vers | r_holo  
Syllabe DU mot | r_holo  
Son DE syllabe | r_holo  
Voix DE chanteur | r_holo  
Instrument DE orchestre | r_holo  
Violon DU quatuor | r_holo  
Corde DU violon | r_holo  
Arche DE violon | r_holo  
Clé DE violon | r_holo
