Tour DE Pise | r_lieu  
Sahara D'Algérie | r_lieu  
Pyramides D'Égypte | r_lieu  
Muraille DE Chine | r_lieu  
Carnaval DE Rio | r_lieu  
Canals D'Amsterdam | r_lieu  
Temple D'Angkor | r_lieu  
Colisée DE Rome | r_lieu  
Taj Mahal D'Inde | r_lieu  
Fjords DE Norvège | r_lieu  
Machu Picchu DU Pérou | r_lieu  
Statue DE New York | r_lieu  
Opéra DE Sydney | r_lieu  
Montagne DU Kilimandjaro | r_lieu  
Chutes DU Niagara | r_lieu  
Forêt D'Amazonie | r_lieu  
Désert D'Atacama | r_lieu  
Palais DE Versailles | r_lieu  
Acropole D'Athènes | r_lieu  
Lac DU Baïkal | r_lieu  
Volcan DE Hawaï | r_lieu  
Pont DE Lisbonne | r_lieu  
Îles DES Galápagos | r_lieu  
Glacier DE Patagonie | r_lieu  
Marché DE Marrakech | r_lieu  
Tour DE Londres | r_lieu  
Cathédrale DE Moscou | r_lieu  
Plage DE Bali | r_lieu  
Temple DE Kyoto | r_lieu  
Canyon DU Colorado | r_lieu  
Château DE Bavière | r_lieu  
Falaise D'Irlande | r_lieu  
Souk DE Dubaï | r_lieu  
Pont DE San Francisco | r_lieu  
Mont DU Fuji | r_lieu  
Ruines DE Pétra | r_lieu  
Delta DU Mékong | r_lieu  
Grottes DE Cappadoce | r_lieu  
Parc DE Yellowstone | r_lieu  
Temple D'Égypte | r_lieu  
Île DE Santorin | r_lieu  
Vallée DE Napa | r_lieu  
Forêt DE Schwarzwald | r_lieu  
Plage DE Copacabana | r_lieu  
Tour DE Dubaï | r_lieu  
Lac DE Côme | r_lieu  
Volcan D'Etna | r_lieu  
Fjord DE Milford | r_lieu  
Palais DE Bangkok | r_lieu  
Désert DE Gobi | r_lieu  
Îles DE Phi Phi | r_lieu  
Cathédrale DE Barcelone | r_lieu  
Montagne DES Alpes | r_lieu  
Plage DE Miami | r_lieu  
Temple DE Bali | r_lieu  
Rivière DU Nil | r_lieu  
Château DE Loire | r_lieu  
Île DE Pâques | r_lieu  
Parc DE Serengeti | r_lieu  
Pont DE Brooklyn | r_lieu  
Forêt DU Congo | r_lieu  
Marché DE Istanbul | r_lieu  
Mont DE l'Everest | r_lieu  
Lac DE Genève | r_lieu  
Ruines DE Machu Picchu | r_lieu  
Désert DU Namib | r_lieu  
Temple DE Lhassa | r_lieu  
Plage DE Bora Bora | r_lieu  
Cathédrale DE Florence | r_lieu  
Fjord DE Geiranger | r_lieu  
Palais DE Vienne | r_lieu  
Îles DES Maldives | r_lieu  
Montagne DU Caucase | r_lieu  
Rivière D'Amazonie | r_lieu  
Château D'Écosse | r_lieu  
Parc DE Yosemite | r_lieu  
Temple DE Borobudur | r_lieu  
Plage DE Phuket | r_lieu  
Tour DE Tokyo | r_lieu  
Désert DE Mojave | r_lieu  
Lac DU Titisee | r_lieu  
Cathédrale DE Prague | r_lieu  
Fjord DE Trolltunga | r_lieu  
Palais DE Pékin | r_lieu  
Île DE Capri | r_lieu  
Montagne DES Pyrénées | r_lieu  
Rivière DU Danube | r_lieu  
Château DE Prague | r_lieu  
Parc DU Kruger | r_lieu  
Temple DE Siem Reap | r_lieu  
Plage DE Zanzibar | r_lieu  
Tour DE Séoul | r_lieu  
Désert DU Kalahari | r_lieu  
Lac DE Lucerne | r_lieu  
Cathédrale DE Lisbonne | r_lieu  
Fjord DE Sogne | r_lieu  
Palais DE Jaipur | r_lieu  
Île DE Hawaï | r_lieu  
Montagne DU Tibet | r_lieu
