Fusil DU soldat | r_own-1  
Vélo DU cycliste | r_own-1  
Livre DE l'étudiant | r_own-1  
Pinceau DE l'artiste | r_own-1  
Sac DE l'écolier | r_own-1  
Camion DU chauffeur | r_own-1  
Guitare DU musicien | r_own-1  
Téléphone DU cadre | r_own-1  
Couteau DU chef | r_own-1  
Bateau DU pêcheur | r_own-1  
Ordinateur DU programmeur | r_own-1  
Balai DE la sorcière | r_own-1  
Balle DU joueur | r_own-1  
Appareil DU photographe | r_own-1  
Chapeau DU magicien | r_own-1  
Valise DU voyageur | r_own-1  
Plume DE l'écrivain | r_own-1  
Cheval DU cavalier | r_own-1  
Microscope DU scientifique | r_own-1  
Baguette DU chef d'orchestre | r_own-1  
Poussette DE la mère | r_own-1  
Canne DU vieillard | r_own-1  
Épée DU chevalier | r_own-1  
Sacoche DU facteur | r_own-1  
Planche DU surfeur | r_own-1  
Raquette DU tennisman | r_own-1  
Clavier DU pianiste | r_own-1  
Carnet DU journaliste | r_own-1  
Stéthoscope DU médecin | r_own-1  
Bâton DU randonneur | r_own-1  
Trousse DE l'infirmière | r_own-1  
Marteau DU forgeron | r_own-1  
Pinceau DU maquilleur | r_own-1  
Voiture DU pilote | r_own-1  
Chaise DU professeur | r_own-1  
Palette DU peintre | r_own-1  
Sac DU randonneur | r_own-1  
Filet DU pêcheur | r_own-1  
Téléscope DE l'astronome | r_own-1  
Casque DU motard | r_own-1  
Arc DU chasseur | r_own-1  
Baguette DE la fée | r_own-1  
Balle DU basketteur | r_own-1  
Costume DU danseur | r_own-1  
Caméra DU cinéaste | r_own-1  
Corde DU grimpeur | r_own-1  
Livre DU bibliothécaire | r_own-1  
Outil DU mécanicien | r_own-1  
Sac DE la couturière | r_own-1  
Canne DU pêcheur | r_own-1  
Poussette DU père | r_own-1  
Écharpe DE l'hivernant | r_own-1  
Gant DU boxeur | r_own-1  
Carte DU navigateur | r_own-1  
Chisel DU sculpteur | r_own-1  
Truelle DU maçon | r_own-1  
Parapluie DU passant | r_own-1  
Sacoche DU médecin | r_own-1  
Flûte DU musicien | r_own-1  
Planche DU skateur | r_own-1  
Montre DU coureur | r_own-1  
Lunettes DE l'opticien | r_own-1  
Trousse DU maquilleur | r_own-1  
Sac DE l'aventurier | r_own-1  
Baton DU guide | r_own-1  
Casque DU pompier | r_own-1  
Bague DE la mariée | r_own-1  
Carnet DU dessinateur | r_own-1  
Chaussures DU coureur | r_own-1  
Épée DU samouraï | r_own-1  
Sac DU campeur | r_own-1  
Couteau DU boucher | r_own-1  
Appareil DU dentiste | r_own-1  
Bâton DU skieur | r_own-1  
Filet DU gardien | r_own-1  
Pinceau DU décorateur | r_own-1  
Tapis DU yogi | r_own-1  
Camion DU déménageur | r_own-1  
Chaise DU directeur | r_own-1  
Sacoche DU livreur | r_own-1  
Violon DU violoniste | r_own-1  
Planche DU menuisier | r_own-1  
Caméra DU reporter | r_own-1  
Sac DU jardinier | r_own-1  
Casque DU cycliste | r_own-1  
Balle DU golfeur | r_own-1  
Pinceau DU calligraphe | r_own-1  
Corde DU marin | r_own-1  
Livre DU chercheur | r_own-1  
Outil DU bricoleur | r_own-1  
Sac DE l'étudiante | r_own-1  
Baton DU chef | r_own-1  
Raquette DU badminton | r_own-1  
Trousse DU coiffeur | r_own-1  
Palette DU cuisinier | r_own-1  
Planche DU charpentier | r_own-1  
Caméra DU vidéaste | r_own-1  
Sac DU voyageur | r_own-1  
Baguette DU sorcier | r_own-1
