Travail DE l'ouvrier | r_processus_agent  
Cours DU professeur | r_processus_agent  
Chant DU rossignol | r_processus_agent  
Peinture DE l'artiste | r_processus_agent  
Écriture DU poète | r_processus_agent  
Danse DE la ballerine | r_processus_agent  
Cuisine DU chef | r_processus_agent  
Sculpture DU sculpteur | r_processus_agent  
Musique DU compositeur | r_processus_agent  
Enseignement DU maître | r_processus_agent  
Conduite DU chauffeur | r_processus_agent  
Recherche DU scientifique | r_processus_agent  
Chantier DU maçon | r_processus_agent  
Dessin DU graphiste | r_processus_agent  
Programmation DU développeur | r_processus_agent  
Chant DE l'opéra | r_processus_agent  
Couture DE la couturière | r_processus_agent  
Jardinage DU paysagiste | r_processus_agent  
Entraînement DU coach | r_processus_agent  
Photographie DU photographe | r_processus_agent  
Écriture D'un romancier | r_processus_agent  
Performance DE l'acteur | r_processus_agent  
Gestion DU manager | r_processus_agent  
Analyse DU chercheur | r_processus_agent  
Construction DU bâtisseur | r_processus_agent  
Composition DU musicien | r_processus_agent  
Enregistrement DU technicien | r_processus_agent  
Lecture DU narrateur | r_processus_agent  
Direction DU chef d'orchestre | r_processus_agent  
Création DU designer | r_processus_agent  
Étude DU biologiste | r_processus_agent  
Traduction DU traducteur | r_processus_agent  
Réparation DU mécanicien | r_processus_agent  
Enseignement DE l'éducateur | r_processus_agent  
Performance DU danseur | r_processus_agent  
Écriture DU scénariste | r_processus_agent  
Décoration DE l'architecte d'intérieur | r_processus_agent  
Exploration DU géographe | r_processus_agent  
Enquête DU détective | r_processus_agent  
Soin DU médecin | r_processus_agent  
Conseil DU consultant | r_processus_agent  
Fabrication DU forgeron | r_processus_agent  
Conception DU ingénieur | r_processus_agent  
Présentation DU conférencier | r_processus_agent  
Navigation DU marin | r_processus_agent  
Peinture DU décorateur | r_processus_agent  
Entraînement DU sportif | r_processus_agent  
Organisation DU planificateur | r_processus_agent  
Illustration DU dessinateur | r_processus_agent  
Interprétation DU comédien | r_processus_agent  
Recherche DU historien | r_processus_agent  
Composition DE l'auteur | r_processus_agent  
Pilotage DU pilote | r_processus_agent  
Tissage DE la tisserande | r_processus_agent  
Enseignement DU formateur | r_processus_agent  
Analyse DU statisticien | r_processus_agent  
Élevage DU fermier | r_processus_agent  
Conception DU styliste | r_processus_agent  
Direction DU metteur en scène | r_processus_agent  
Chant DU choriste | r_processus_agent  
Création DU céramiste | r_processus_agent  
Enregistrement DU producteur | r_processus_agent  
Étude DU mathématicien | r_processus_agent  
Soin DE l'infirmier | r_processus_agent  
Enquête DU journaliste | r_processus_agent  
Fabrication DU menuisier | r_processus_agent  
Gestion DU comptable | r_processus_agent  
Exploration DU botaniste | r_processus_agent  
Écriture DU chroniqueur | r_processus_agent  
Performance DU jongleur | r_processus_agent  
Recherche DU physicien | r_processus_agent  
Cuisine DU pâtissier | r_processus_agent  
Sculpture DE l'artisan | r_processus_agent  
Traduction DE l'interprète | r_processus_agent  
Conduite DU pilote automobile | r_processus_agent  
Création DU joaillier | r_processus_agent  
Enseignement DU tuteur | r_processus_agent  
Analyse DU sociologue | r_processus_agent  
Construction DU charpentier | r_processus_agent  
Composition DU parolier | r_processus_agent  
Navigation DU capitaine | r_processus_agent  
Peinture DU muraliste | r_processus_agent  
Entraînement DU dresseur | r_processus_agent  
Organisation DU coordinateur | r_processus_agent  
Illustration DU caricaturiste | r_processus_agent  
Interprétation DU musicien | r_processus_agent  
Recherche DU archéologue | r_processus_agent  
Soin DU vétérinaire | r_processus_agent  
Conseil DU conseiller | r_processus_agent  
Fabrication DU potier | r_processus_agent  
Conception DU architecte | r_processus_agent  
Présentation DU animateur | r_processus_agent  
Danse DU chorégraphe | r_processus_agent  
Écriture DU dramaturge | r_processus_agent  
Décoration DU fleuriste | r_processus_agent  
Exploration DU explorateur | r_processus_agent  
Enquête DU policier | r_processus_agent  
Chant DU soliste | r_processus_agent
