Travail DU bois | r_processus_patient  
Ouverture DE la porte | r_processus_patient  
Peinture DE la toile | r_processus_patient  
Taille DE la pierre | r_processus_patient  
Nettoyage DU sol | r_processus_patient  
Découpe DE la viande | r_processus_patient  
Cuisson DU pain | r_processus_patient  
Polissage DU métal | r_processus_patient  
Tissage DU tissu | r_processus_patient  
Gravure DU verre | r_processus_patient  
Réparation DE la voiture | r_processus_patient  
Lavage DES vêtements | r_processus_patient  
Sculpture DE l'argile | r_processus_patient  
Écriture DU manuscrit | r_processus_patient  
Construction DU mur | r_processus_patient  
Plantation DES arbres | r_processus_patient  
Récolte DU blé | r_processus_patient  
Forage DU puits | r_processus_patient  
Montage DU meuble | r_processus_patient  
Teinture DU tissu | r_processus_patient  
Nettoyage DES vitres | r_processus_patient  
Broyage DU grain | r_processus_patient  
Fusion DU métal | r_processus_patient  
Décoration DE la salle | r_processus_patient  
Pliage DU papier | r_processus_patient  
Tournage DU bois | r_processus_patient  
Perçage DE la planche | r_processus_patient  
Cuisson DES légumes | r_processus_patient  
Modelage DE la pâte | r_processus_patient  
Vernissage DU tableau | r_processus_patient  
Aiguisage DU couteau | r_processus_patient  
Couture DU vêtement | r_processus_patient  
Élagage DES branches | r_processus_patient  
Frappe DE la pièce | r_processus_patient  
Lissage DU cuir | r_processus_patient  
Gravure DE la plaque | r_processus_patient  
Peinture DU mur | r_processus_patient  
Tressage DES cheveux | r_processus_patient  
Découpe DU tissu | r_processus_patient  
Polissage DE la pierre | r_processus_patient  
Nettoyage DU tapis | r_processus_patient  
Réparation DU moteur | r_processus_patient  
Cuisson DE la viande | r_processus_patient  
Taille DU buisson | r_processus_patient  
Impression DU livre | r_processus_patient  
Construction DE la maison | r_processus_patient  
Récolte DES fruits | r_processus_patient  
Forage DE la roche | r_processus_patient  
Montage DE l'étagère | r_processus_patient  
Teinture DU cuir | r_processus_patient  
Nettoyage DE l'écran | r_processus_patient  
Broyage DES épices | r_processus_patient  
Fusion DU verre | r_processus_patient  
Décoration DU gâteau | r_processus_patient  
Pliage DE la feuille | r_processus_patient  
Tournage DE l'argile | r_processus_patient  
Perçage DU métal | r_processus_patient  
Cuisson DU poisson | r_processus_patient  
Modelage DU plâtre | r_processus_patient  
Vernissage DU bois | r_processus_patient  
Aiguisage DE la lame | r_processus_patient  
Couture DE la robe | r_processus_patient  
Élagage DE l'arbre | r_processus_patient  
Frappe DU métal | r_processus_patient  
Lissage DE la surface | r_processus_patient  
Gravure DU bois | r_processus_patient  
Peinture DE la chaise | r_processus_patient  
Tressage DU panier | r_processus_patient  
Découpe DU papier | r_processus_patient  
Polissage DU bijou | r_processus_patient  
Nettoyage DE la table | r_processus_patient  
Réparation DU vélo | r_processus_patient  
Cuisson DE la pâte | r_processus_patient  
Taille DE la vigne | r_processus_patient  
Impression DE l'affiche | r_processus_patient  
Construction DU pont | r_processus_patient  
Récolte DU maïs | r_processus_patient  
Forage DU terrain | r_processus_patient  
Montage DU cadre | r_processus_patient  
Teinture DE la laine | r_processus_patient  
Nettoyage DU miroir | r_processus_patient  
Broyage DU café | r_processus_patient  
Fusion DE l'acier | r_processus_patient  
Décoration DE la maison | r_processus_patient  
Pliage DU carton | r_processus_patient  
Tournage DU métal | r_processus_patient  
Perçage DE la pierre | r_processus_patient  
Cuisson DU riz | r_processus_patient  
Modelage DE la cire | r_processus_patient  
Vernissage DE la table | r_processus_patient  
Aiguisage DES ciseaux | r_processus_patient  
Couture DU sac | r_processus_patient  
Élagage DES haies | r_processus_patient  
Frappe DU fer | r_processus_patient  
Lissage DU bois | r_processus_patient  
Gravure DE la pierre | r_processus_patient  
Peinture DE la clôture | r_processus_patient  
Tressage DE la corde | r_processus_patient
