Brin D'herbe | r_quantificateur  
Minute D'attente | r_quantificateur  
Goutte D'eau | r_quantificateur  
Grain DE sable | r_quantificateur  
Heure DE travail | r_quantificateur  
Pincée DE sel | r_quantificateur  
Morceau DE pain | r_quantificateur  
Cuillère DE sucre | r_quantificateur  
Tasse DE thé | r_quantificateur  
Verre DE vin | r_quantificateur  
Kilomètre DE route | r_quantificateur  
Litre D'huile | r_quantificateur  
Tranche DE fromage | r_quantificateur  
Poignée DE noix | r_quantificateur  
Feuille DE papier | r_quantificateur  
Branche D'arbre | r_quantificateur  
Touffe DE cheveux | r_quantificateur  
Jour DE repos | r_quantificateur  
Seconde DE silence | r_quantificateur  
Mètre DE tissu | r_quantificateur  
Once DE beurre | r_quantificateur  
Filet D'huile | r_quantificateur  
Bouchée DE gâteau | r_quantificateur  
Grain DE riz | r_quantificateur  
Cuillerée DE miel | r_quantificateur  
Tonne DE charbon | r_quantificateur  
Centimètre DE neige | r_quantificateur  
Poussière DE farine | r_quantificateur  
Gobelet D'eau | r_quantificateur  
Tranche DE viande | r_quantificateur  
Poignée DE sable | r_quantificateur  
Année DE travail | r_quantificateur  
Goutte DE pluie | r_quantificateur  
Morceau DE bois | r_quantificateur  
Cuillère DE soupe | r_quantificateur  
Verre DE lait | r_quantificateur  
Kilogramme DE fruits | r_quantificateur  
Litre DE jus | r_quantificateur  
Pincée D'épices | r_quantificateur  
Feuille DE salade | r_quantificateur  
Touffe D'herbes | r_quantificateur  
Mois DE vacances | r_quantificateur  
Seconde DE réflexion | r_quantificateur  
Mètre DE corde | r_quantificateur  
Once DE chocolat | r_quantificateur  
Filet DE vinaigre | r_quantificateur  
Bouchée DE chocolat | r_quantificateur  
Grain DE poivre | r_quantificateur  
Cuillerée DE confiture | r_quantificateur  
Tonne DE pierre | r_quantificateur  
Centimètre DE tissu | r_quantificateur  
Poussière DE craie | r_quantificateur  
Gobelet DE café | r_quantificateur  
Tranche DE pain | r_quantificateur  
Poignée DE terre | r_quantificateur  
Année D'études | r_quantificateur  
Goutte DE sueur | r_quantificateur  
Morceau DE tissu | r_quantificateur  
Cuillère DE farine | r_quantificateur  
Verre D'eau | r_quantificateur  
Kilogramme DE légumes | r_quantificateur  
Litre DE bière | r_quantificateur  
Pincée DE poivre | r_quantificateur  
Feuille DE menthe | r_quantificateur  
Touffe DE laine | r_quantificateur  
Mois DE repos | r_quantificateur  
Seconde D'hésitation | r_quantificateur  
Mètre DE fil | r_quantificateur  
Once DE fromage | r_quantificateur  
Filet DE citron | r_quantificateur  
Bouchée DE fromage | r_quantificateur  
Grain DE café | r_quantificateur  
Cuillerée DE crème | r_quantificateur  
Tonne DE sable | r_quantificateur  
Centimètre DE pluie | r_quantificateur  
Poussière DE pollen | r_quantificateur  
Gobelet DE thé | r_quantificateur  
Tranche DE citron | r_quantificateur  
Poignée DE gravier | r_quantificateur  
Année DE service | r_quantificateur  
Goutte DE sang | r_quantificateur  
Morceau DE charbon | r_quantificateur  
Cuillère DE sel | r_quantificateur  
Verre DE jus | r_quantificateur  
Kilogramme DE viande | r_quantificateur  
Litre DE soupe | r_quantificateur  
Pincée DE curry | r_quantificateur  
Feuille DE thé | r_quantificateur  
Touffe DE paille | r_quantificateur  
Mois DE formation | r_quantificateur  
Seconde DE repos | r_quantificateur  
Mètre DE ruban | r_quantificateur  
Once DE sucre | r_quantificateur  
Filet D'eau | r_quantificateur  
Bouchée DE viande | r_quantificateur  
Grain DE sel | r_quantificateur  
Cuillerée DE sirop | r_quantificateur  
Tonne DE gravier | r_quantificateur  
Centimètre DE laine | r_quantificateur
